RegionName,State,Metro,StateCodeFIPS,GeoFIPS,MunicipalCodeFIPS
Alamance County,NC,Burlington,37,37001,1
Alexander County,NC,Hickory-Lenoir-Morganton,37,37003,3
Alleghany County,NC,,37,37005,5
Anson County,NC,,37,37007,7
Ashe County,NC,,37,37009,9
Avery County,NC,,37,37011,11
Beaufort County,NC,Washington,37,37013,13
Bertie County,NC,,37,37015,15
Bladen County,NC,,37,37017,17
Brunswick County,NC,Myrtle Beach-Conway-North Myrtle Beach,37,37019,19
Buncombe County,NC,Asheville,37,37021,21
Burke County,NC,Hickory-Lenoir-Morganton,37,37023,23
Cabarrus County,NC,Charlotte-Concord-Gastonia,37,37025,25
Caldwell County,NC,Hickory-Lenoir-Morganton,37,37027,27
Camden County,NC,Elizabeth City,37,37029,29
Carteret County,NC,Morehead City,37,37031,31
Caswell County,NC,,37,37033,33
Catawba County,NC,Hickory-Lenoir-Morganton,37,37035,35
Chatham County,NC,Durham-Chapel Hill,37,37037,37
Cherokee County,NC,,37,37039,39
Chowan County,NC,,37,37041,41
Clay County,NC,,37,37043,43
Cleveland County,NC,Shelby,37,37045,45
Columbus County,NC,,37,37047,47
Craven County,NC,New Bern,37,37049,49
Cumberland County,NC,Fayetteville,37,37051,51
Currituck County,NC,Virginia Beach-Norfolk-Newport News,37,37053,53
Dare County,NC,Kill Devil Hills,37,37055,55
Davidson County,NC,Winston-Salem,37,37057,57
Davie County,NC,Winston-Salem,37,37059,59
Duplin County,NC,,37,37061,61
Durham County,NC,Durham-Chapel Hill,37,37063,63
Edgecombe County,NC,Rocky Mount,37,37065,65
Forsyth County,NC,Winston-Salem,37,37067,67
Franklin County,NC,Raleigh,37,37069,69
Gaston County,NC,Charlotte-Concord-Gastonia,37,37071,71
Gates County,NC,Virginia Beach-Norfolk-Newport News,37,37073,73
Graham County,NC,,37,37075,75
Granville County,NC,Oxford,37,37077,77
Greene County,NC,,37,37079,79
Guilford County,NC,Greensboro-High Point,37,37081,81
Halifax County,NC,Roanoke Rapids,37,37083,83
Harnett County,NC,Dunn,37,37085,85
Haywood County,NC,Asheville,37,37087,87
Henderson County,NC,Asheville,37,37089,89
Hertford County,NC,,37,37091,91
Hoke County,NC,Fayetteville,37,37093,93
Hyde County,NC,,37,37095,95
Iredell County,NC,Charlotte-Concord-Gastonia,37,37097,97
Jackson County,NC,Cullowhee,37,37099,99
Johnston County,NC,Raleigh,37,37101,101
Jones County,NC,New Bern,37,37103,103
Lee County,NC,Sanford,37,37105,105
Lenoir County,NC,Kinston,37,37107,107
Lincoln County,NC,Charlotte-Concord-Gastonia,37,37109,109
Macon County,NC,,37,37113,113
Madison County,NC,Asheville,37,37115,115
Martin County,NC,,37,37117,117
McDowell County,NC,Marion,37,37111,111
Mecklenburg County,NC,Charlotte-Concord-Gastonia,37,37119,119
Mitchell County,NC,,37,37121,121
Montgomery County,NC,,37,37123,123
Moore County,NC,Pinehurst-Southern Pines,37,37125,125
Nash County,NC,Rocky Mount,37,37127,127
New Hanover County,NC,Wilmington,37,37129,129
Northampton County,NC,Roanoke Rapids,37,37131,131
Onslow County,NC,Jacksonville,37,37133,133
Orange County,NC,Durham-Chapel Hill,37,37135,135
Pamlico County,NC,New Bern,37,37137,137
Pasquotank County,NC,Elizabeth City,37,37139,139
Pender County,NC,Wilmington,37,37141,141
Perquimans County,NC,Elizabeth City,37,37143,143
Person County,NC,Durham-Chapel Hill,37,37145,145
Pitt County,NC,Greenville,37,37147,147
Polk County,NC,,37,37149,149
Randolph County,NC,Greensboro-High Point,37,37151,151
Richmond County,NC,Rockingham,37,37153,153
Robeson County,NC,Lumberton,37,37155,155
Rockingham County,NC,Greensboro-High Point,37,37157,157
Rowan County,NC,Charlotte-Concord-Gastonia,37,37159,159
Rutherford County,NC,Forest City,37,37161,161
Sampson County,NC,,37,37163,163
Scotland County,NC,Laurinburg,37,37165,165
Stanly County,NC,Albermarle,37,37167,167
Stokes County,NC,Winston-Salem,37,37169,169
Surry County,NC,Mount Airy,37,37171,171
Swain County,NC,,37,37173,173
Transylvania County,NC,Brevard,37,37175,175
Tyrrell County,NC,Kill Devil Hills,37,37177,177
Union County,NC,Charlotte-Concord-Gastonia,37,37179,179
Vance County,NC,Henderson,37,37181,181
Wake County,NC,Raleigh,37,37183,183
Warren County,NC,,37,37185,185
Washington County,NC,,37,37187,187
Watauga County,NC,Boone,37,37189,189
Wayne County,NC,Goldsboro,37,37191,191
Wilkes County,NC,North Wilkesboro,37,37193,193
Wilson County,NC,Wilson,37,37195,195
Yadkin County,NC,Winston-Salem,37,37197,197
Yancey County,NC,,37,37199,199
